Id,Label,Gender
a1797,John Newton,0
a1798,Gayne Rescher,2
a1799,Michael Minor,2
a1800,Charles Graffeo,2
a1801,Robert Fletcher,2
a1802,Joseph R. Jennings,2
a1803,Mary V. Buck,1
a1804,William Paul Dornisch,2
a1805,Diana Ossana,1
a1806,Annie Proulx,0
a1807,Larry McMurtry,2
a1808,Geraldine Peroni,1
a1809,Dylan Tichenor,2
a1812,Michelle Williams,1
a1813,Anne Hathaway,1
a1822,Charles Correll,2
a1823,John E. Chilberg II,2
a1824,Tom Pedigo,2
a1825,Robert F. Shugrue,2
a1826,Mary Ann Barton,1
a1827,Elza Bergeron,0
a1828,Stuart Jensen,0
a1843,Thomas Jahn,2
a1844,Til Schweiger,2
a1845,Tom Zickler,2
a1846,André Hennicke,2
a1847,Wolfgang Braun,0
a1848,Christoph Ott,0
a1849,Franz Plasa,0
a1850,Gero Steffen,0
a1851,Alexander Berner,2
a1865,Hark Bohm,2
a1867,Auguste Lumière,0
a1868,Louis Lumière,0
a1869,Sönke Wortmann,0
a1870,Gernot Roll,2
a1871,Ueli Christen,0
a1872,Torsten Breuer,0
a1884,Steven Soderbergh,2
a1885,George Clayton Johnson,2
a1886,Ted Griffin,0
a1887,Jack Golden Russell,0
a1888,Jerry Weintraub,2
a1889,David Holmes,2
a1890,Philip Messina,2
a1891,Stephen Mirrione,2
a1892,Matt Damon,2
a1893,Casey Affleck,2
a1894,Scott Caan,2
a1895,Carl Reiner,2
a1896,Don Cheadle,2
a1897,Bernie Mac,2
a1899,Denise Di Novi,1
a1901,Caroline Thompson,1
a1903,Alan Arkin,2
a1904,Anthony Michael Hall,2
a1910,Caroline Aaron,1
a1917,Colleen Halsey,1
a1918,Richard Halsey,2
a1919,Stefan Czapsky,2
a1920,Winona Ryder,1
a1921,George Nolfi,2
a1924,Jeroen Krabbé,0
a1925,Vincent Cassel,2
a1926,Eddie Izzard,2
a1927,Blake Edwards,2
a1928,Martin Jurow,2
a1929,Richard Shepherd,2
a1930,Truman Capote,2
a1931,George Axelrod,2
a1938,Henry Mancini,2
a1939,Philip H. Lathrop,2
a1940,Franz Planer,2
a1941,Howard A. Smith,0
a1944,Alan Reed,2
a1945,Dorothy Whitney,1
a1954,Billy Zane,2
a1957,Sophie Marceau,1
a1961,Claude Pinoteau,2
a1962,Alain Poiré,0
a1963,Danièle Thompson,1
