Id,imdbId,Label,Year,Genre
m41348,tt0014611,Why Worry?,1923,"Comedy,Adventure"
m28974,tt0014624,A Woman of Paris,1923,"Drama,Romance"
m176273,tt0014770,The Chechahcos,1923,
m38759,tt0014109,The Saga of Gosta Berling,1924,Drama
m176321,tt0014524,New Year's Eve,1924,
m27522,tt0014586,Waxworks,1924,"Fantasy,Drama,Horror"
m2973,tt0014646,Aelita: Queen of Mars,1924,"Science Fiction,Adventure,Drama,Fantasy"
m104067,tt0014672,America,1924,Drama
m144613,tt0014702,Beau Brummel,1924,Drama
m148326,tt0014760,Captain January,1924,
m44473,tt0014872,Entr'acte,1924,"Comedy,Fantasy"
m55536,tt0014900,The Finances of the Grand Duke,1924,"Comedy,Drama"
m40574,tt0014945,Girl Shy,1924,"Action,Comedy,Romance"
m27511,tt0014972,He Who Gets Slapped,1924,"Drama,Romance,Thriller"
m42367,tt0015002,Hot Water,1924,Comedy
m54539,tt0015014,L'Inhumaine,1924,"Drama,Science Fiction"
m71068,tt0015016,The Iron Horse,1924,Western
m176389,tt0015036,Kean,1924,Drama
m144611,tt0015039,Kino Eye,1924,Documentary
m5991,tt0015064,The Last Laugh,1924,Drama
m96713,tt0015119,The Marriage Circle,1924,Comedy
m55587,tt0015136,Michael,1924,"Romance,Drama"
m32318,tt0015163,The Navigator,1924,"Action,Comedy"
m32928,tt0015167,The Extraordinary Adventures of Mr. West in the Land of the Bolsheviks,1924,"Adventure,Comedy"
m42512,tt0015174,Die Nibelungen: Kriemhild's Revenge,1924,"Adventure,Drama,Fantasy"
m31506,tt0015175,Die Nibelungen: Siegfried,1924,"Adventure,Drama,Fantasy"
m2974,tt0015202,The Hands of Orlac,1924,"Crime,Drama,Horror"
m120672,tt0015224,Peter Pan,1924,
m186201,tt0015268,The Red Lily,1924,"Crime,Drama"
m50329,tt0015310,The Sea Hawk,1924,"Adventure,Romance,Drama"
m992,tt0015324,"Sherlock, Jr.",1924,"Fantasy,Drama,Comedy,Mystery"
m93521,tt0015384,Symphonie diagonale,1924,Animation
m28963,tt0015400,The Thief of Bagdad,1924,"Action,Adventure,Drama,Family,Fantasy"
