Id,Label,Gender
a2832,Maja Komorowska,1
a2838,Chloë Sevigny,1
a2839,Brendan Sexton III,2
a2841,Alison Folland,1
a2842,Jeannetta Arnette,1
a2843,Rob Campbell,0
a2851,Lou Perryman,0
a2857,Libby Villari,0
a2859,Gail Cronauer,1
a2876,Matt Dillon,2
a2877,Ralph Macchio,2
a2878,C. Thomas Howell,2
a2879,Rob Lowe,2
a2880,Emilio Estevez,2
a2882,Diane Lane,1
a2884,Darren Dalton,2
a2887,Tom Waits,0
a2888,Will Smith,2
a2949,Alexandre Desplat,2
a2954,Jeffrey Wright,2
a2955,Chris Cooper,2
a2956,Amanda Peet,1
a2957,Alexander Siddig,2
a2958,Diana Scarwid,1
a2959,Kayvan Novak,2
a2960,Amr Waked,2
a2962,Robert Foxworth,2
a2963,Nicolas Cage,2
a2964,Nicky Henson,2
a2965,Nicholas Art,0
a2966,Steven Hinkle,2
a2968,Richard Lintern,0
a2970,Jocelyn Quivrin,2
a2972,Shahid Ahmed,2
a2974,Roger Yuan,2
